vowels,D_hig,DFA,D_hig_mean,DFA_mean,std_D_hig,std_DFA,m,b,m_mean,b_mean,std_m,std_b
ea,1.458935,1.537757,1.528183,1.474855,0.016505,0.019473,0.659868,-0.648270,0.660997,0.014193,0.001922,85.405226
ai,1.463665,1.531527,1.523218,1.477284,0.016531,0.030805,0.856456,-57.361404,0.857754,0.075573,0.003021,83.842331
ao,1.447223,1.542101,1.515540,1.477463,0.018407,0.015642,0.949817,18.604271,0.953979,0.068890,0.003408,94.034470
au,1.415597,1.569071,1.520836,1.477657,0.017780,0.025848,0.364883,80.853218,0.372676,0.068035,0.001622,45.978420
ei,1.468129,1.523679,1.520339,1.470386,0.020851,0.021862,0.565217,-59.932681,0.566843,-0.145894,0.001846,78.118656
eo,1.447197,1.548858,1.515277,1.486021,0.014973,0.021179,0.626834,16.069217,0.630673,-0.021015,0.001978,86.479284
eu,1.409839,1.585815,1.515448,1.485843,0.012913,0.021452,0.240810,79.690752,0.246352,-0.090385,0.001040,45.398081
oi,1.504702,1.493839,1.516809,1.465258,0.020241,0.017938,0.901695,-73.093017,0.898889,-0.010039,0.003054,83.001055
iu,1.451354,1.541765,1.516868,1.477311,0.016394,0.018340,0.426063,103.780695,0.434435,0.033838,0.001991,49.612882
ou,1.470257,1.531641,1.524005,1.470511,0.023378,0.019634,0.384197,72.430280,0.390565,-0.020975,0.001605,42.257867
